Employee_ID,Name,Age,Department,Gender,Experience_Years,Monthly_Salary,Performance_Rating,Attendance_%,Attrition
10068,Employee_68,36,Operations,Female,29,48645,2,70.99,No
10069,Employee_69,38,Marketing,Male,9,36179,3,78.21,No
10070,Employee_70,44,IT,Female,25,25691,1,83.99,No
10071,Employee_71,46,HR,Male,26,96646,5,99.23,No
10072,Employee_72,45,IT,Female,7,115827,4,96.43,No
10073,Employee_73,49,Sales,Male,7,60311,2,75.44,No
10074,Employee_74,35,IT,Male,7,110381,1,91.7,No
10075,Employee_75,21,Marketing,Female,33,54038,4,98.1,Yes
10076,Employee_76,45,IT,Male,15,39967,2,70.26,Yes
10077,Employee_77,27,Sales,Female,12,43478,5,91.63,No
10078,Employee_78,29,Sales,Male,22,70775,3,83.78,No
10079,Employee_79,44,Sales,Female,11,85624,3,90.41,No
10080,Employee_80,21,Marketing,Male,26,55332,5,88.17,Yes
10081,Employee_81,28,Sales,Male,21,22066,1,99.54,No
10082,Employee_82,44,HR,Male,31,54313,5,78.66,Yes
10083,Employee_83,31,Sales,Female,26,82857,2,93.58,No
10084,Employee_84,37,IT,Female,1,60900,1,77.04,No
10085,Employee_85,28,Operations,Female,32,105069,3,83.07,No
10086,Employee_86,55,IT,Female,25,105045,2,99.26,No
10087,Employee_87,55,Operations,Female,27,56098,4,92.98,Yes
10088,Employee_88,53,IT,Male,18,23294,4,79.47,No
10089,Employee_89,25,Marketing,Male,4,77580,4,88.58,Yes
10090,Employee_90,59,IT,Male,32,53101,3,71.49,Yes
10091,Employee_91,48,Marketing,Male,19,40059,5,77.99,Yes
10092,Employee_92,27,Marketing,Male,29,111784,1,91.55,No
10093,Employee_93,29,Sales,Female,7,55626,3,87.1,No
10094,Employee_94,28,HR,Male,16,35703,2,84.09,No
10095,Employee_95,32,Operations,Female,0,118693,2,90.73,Yes
10096,Employee_96,54,Sales,Male,2,76417,4,81.95,No
10097,Employee_97,53,Sales,Female,25,74228,1,70.78,No
10098,Employee_98,43,Marketing,Female,30,18205,4,83.23,Yes
10099,Employee_99,44,Marketing,Female,7,49929,2,97.06,No
10100,Employee_100,57,Operations,Male,7,98384,2,95.7,No
10101,Employee_101,55,IT,Male,34,48411,5,82.27,No
10102,Employee_102,42,IT,Male,27,95522,5,70.67,No
10103,Employee_103,47,Sales,Male,3,26628,5,89.09,No
10104,Employee_104,55,Finance,Female,15,118655,4,92.24,No
10105,Employee_105,21,Finance,Female,12,85089,1,78.83,No
10106,Employee_106,55,IT,Female,19,21518,5,84.3,Yes
10107,Employee_107,57,Finance,Female,4,53491,3,99.76,No
10108,Employee_108,34,IT,Male,19,22946,5,87.29,No
10109,Employee_109,23,Marketing,Female,23,15610,4,80.53,No
10110,Employee_110,21,Sales,Male,33,84838,1,88.82,No
10111,Employee_111,25,HR,Female,33,49311,5,75.4,No
10112,Employee_112,46,Sales,Female,18,114770,1,75.98,Yes
10113,Employee_113,34,IT,Female,16,56876,3,97.75,No
10114,Employee_114,59,IT,Male,4,95192,2,77.18,No
10115,Employee_115,47,Sales,Male,24,119540,1,79.32,No
10116,Employee_116,29,Operations,Female,17,65333,5,86.31,No
10117,Employee_117,35,IT,Female,7,66298,4,96.99,Yes
10118,Employee_118,35,Finance,Female,26,99192,4,93.44,No
10119,Employee_119,46,Finance,Male,14,56811,4,71.31,No
10120,Employee_120,33,IT,Male,12,85072,4,90.79,No
10121,Employee_121,52,IT,Male,15,57974,1,85.12,No
10122,Employee_122,59,Operations,Female,21,34856,4,84.27,No
10123,Employee_123,52,Finance,Male,19,116946,2,90.75,Yes
10124,Employee_124,24,IT,Female,12,59830,3,75.89,Yes
10125,Employee_125,50,IT,Male,19,96983,1,99.44,No
10126,Employee_126,57,Operations,Female,1,60823,1,89.36,No
10127,Employee_127,43,Operations,Female,34,113863,4,80.97,No
10128,Employee_128,59,Sales,Male,18,115037,4,88.01,No
10129,Employee_129,35,Operations,Female,5,89397,1,76.49,Yes
10130,Employee_130,49,HR,Female,13,100814,4,89.02,No
10131,Employee_131,56,Finance,Female,3,82078,4,70.85,No
10132,Employee_132,33,Sales,Male,21,82951,4,80.24,No
10133,Employee_133,52,HR,Female,33,27905,4,92.43,Yes
10134,Employee_134,27,IT,Male,26,36601,4,94.24,No
10135,Employee_135,42,IT,Male,6,118691,5,77.59,Yes
10136,Employee_136,48,Sales,Female,2,102099,5,86.18,No
10137,Employee_137,22,Operations,Male,32,55955,5,85.85,No
10138,Employee_138,26,IT,Female,1,87179,1,82.64,No
10139,Employee_139,48,Marketing,Male,15,63435,3,76.85,No
10140,Employee_140,48,Sales,Female,24,39044,1,91.1,No
10141,Employee_141,40,HR,Male,14,26246,5,77.57,No
10142,Employee_142,50,Sales,Female,23,17458,1,97.33,Yes
10143,Employee_143,31,Finance,Female,14,73507,3,85.86,No
10144,Employee_144,48,Operations,Female,30,21028,4,96.11,Yes
10145,Employee_145,45,Operations,Female,13,118751,2,78.72,No
10146,Employee_146,59,Sales,Male,13,66901,5,94.21,No
10147,Employee_147,53,IT,Male,5,115252,5,73.41,No
10148,Employee_148,21,IT,Female,13,21306,3,93,Yes
10149,Employee_149,47,Marketing,Male,16,42678,4,81.61,No
10150,Employee_150,33,Marketing,Female,17,105444,4,84.1,No
10151,Employee_151,23,Operations,Female,19,27363,2,75,No
10152,Employee_152,59,Marketing,Male,16,29066,4,70.56,No
10153,Employee_153,26,HR,Male,15,78804,3,89.99,No
10154,Employee_154,28,Marketing,Female,31,63544,4,87.63,Yes
10155,Employee_155,47,HR,Male,8,113247,3,88.67,No
10156,Employee_156,29,Marketing,Female,26,15189,5,77.65,No
10157,Employee_157,57,Operations,Male,32,26752,5,77.18,No
10158,Employee_158,53,Operations,Male,9,22482,5,94.91,No
10159,Employee_159,44,HR,Male,16,31679,1,92.84,No
10160,Employee_160,35,Sales,Male,16,105088,5,80.1,Yes
10161,Employee_161,52,Operations,Male,17,15799,3,89.13,No
10162,Employee_162,52,Sales,Female,22,105917,2,94.84,No
10163,Employee_163,44,IT,Male,33,24934,4,96.66,No
10164,Employee_164,32,HR,Male,7,72558,5,70.17,No
10165,Employee_165,59,Operations,Female,12,74223,1,94.4,No
10166,Employee_166,22,Finance,Female,22,99620,1,80.51,No
10167,Employee_167,23,IT,Female,19,56556,3,91.55,No
10168,Employee_168,57,Sales,Male,21,24909,2,81.14,Yes
10169,Employee_169,37,Operations,Male,22,106467,5,88.19,No
10170,Employee_170,22,HR,Female,34,106404,5,89.4,No
10171,Employee_171,22,Marketing,Female,2,58558,1,82.15,No
10172,Employee_172,48,Finance,Female,33,94382,3,85.38,No
10173,Employee_173,43,Sales,Female,32,102793,1,91.79,No
10174,Employee_174,57,IT,Male,16,43013,1,84.29,Yes
10175,Employee_175,52,HR,Male,18,118018,2,70.42,No
10176,Employee_176,53,Finance,Male,29,37875,3,70.39,No
10177,Employee_177,21,HR,Male,22,105253,2,89.84,Yes
10178,Employee_178,39,Operations,Male,14,26408,3,95.42,No
10179,Employee_179,22,Marketing,Female,13,50607,5,93.56,No
10180,Employee_180,46,IT,Male,1,76684,4,79.31,Yes
10181,Employee_181,52,HR,Female,17,51281,4,84.13,Yes
10182,Employee_182,26,Sales,Female,5,42326,3,77.02,No
10183,Employee_183,52,Operations,Female,31,28601,4,99.67,No
10184,Employee_184,24,Operations,Male,20,16135,1,77.82,Yes
10185,Employee_185,31,IT,Female,27,37741,5,82.49,No
10186,Employee_186,37,Operations,Male,26,26913,5,90.43,No
10187,Employee_187,58,Sales,Female,1,25101,4,96.28,No
10188,Employee_188,44,HR,Male,32,33631,3,71.54,No
10189,Employee_189,25,IT,Female,15,87084,1,79.03,No
10190,Employee_190,54,Operations,Male,21,117820,3,87.07,No
10191,Employee_191,26,Operations,Female,12,51870,4,88.55,No
10192,Employee_192,42,Sales,Female,1,63985,5,72.1,No
10193,Employee_193,31,Marketing,Female,13,42215,5,89.92,No
10194,Employee_194,36,Marketing,Female,27,77110,3,85.84,No
10195,Employee_195,53,Operations,Male,6,117815,2,94.83,No
10196,Employee_196,29,HR,Male,17,34215,3,76.67,Yes
10197,Employee_197,26,IT,Male,3,106118,2,75.85,No
10198,Employee_198,36,Operations,Female,29,29024,3,93.8,No
10199,Employee_199,49,Finance,Female,23,91949,2,91.12,No
10200,Employee_200,23,IT,Female,19,96855,2,93.75,No
10201,Employee_201,40,Marketing,Female,30,99982,2,93.46,No
10202,Employee_202,56,Operations,Female,23,60483,2,73.12,No
10203,Employee_203,39,Sales,Female,6,112572,1,78.36,Yes
10204,Employee_204,46,Finance,Male,25,93157,2,77.8,Yes
10205,Employee_205,23,Operations,Male,12,25511,2,98.04,Yes
10206,Employee_206,39,HR,Male,7,34923,5,84.62,Yes
10207,Employee_207,40,Finance,Male,4,25558,1,73.33,No
10208,Employee_208,52,Operations,Male,12,112771,2,78.69,No
10209,Employee_209,27,HR,Male,28,15526,4,96.16,No
10210,Employee_210,53,Finance,Male,19,16753,1,95.41,No
10211,Employee_211,59,HR,Male,13,41248,5,97.01,No
10212,Employee_212,38,HR,Female,31,29656,3,81.66,No
10213,Employee_213,21,Finance,Female,26,38266,5,89.24,No
10214,Employee_214,31,Finance,Female,24,79555,5,78.35,No
10215,Employee_215,48,HR,Female,3,77995,1,75.42,Yes
10216,Employee_216,45,Marketing,Female,20,90756,1,70.66,No
10217,Employee_217,43,Finance,Female,17,98574,4,76.7,No
10218,Employee_218,51,Operations,Female,14,93277,4,88.13,No
10219,Employee_219,50,IT,Male,23,85377,1,97.13,No
10220,Employee_220,55,Sales,Male,7,117345,1,74,No
10221,Employee_221,27,HR,Female,27,111111,1,97.54,Yes
10222,Employee_222,36,HR,Male,20,80402,3,80.36,No
10223,Employee_223,46,Sales,Male,15,69176,5,82.8,Yes
10224,Employee_224,22,Marketing,Male,15,56733,4,80.95,No
10225,Employee_225,21,Sales,Male,34,29418,4,82.26,No
10226,Employee_226,32,Finance,Male,16,52185,2,77.78,Yes
10227,Employee_227,25,Sales,Female,8,56745,3,90.96,No
10228,Employee_228,57,HR,Male,34,108417,1,92.75,No
10229,Employee_229,52,Sales,Female,28,68787,1,94.69,No
10230,Employee_230,29,IT,Female,17,95123,3,80.24,Yes
10231,Employee_231,55,Operations,Female,11,67035,4,92.94,No
10232,Employee_232,39,Finance,Male,18,102804,1,89.13,Yes
10233,Employee_233,36,Sales,Female,21,80984,2,98.74,No
10234,Employee_234,23,HR,Female,14,67462,4,82.74,No
10235,Employee_235,40,Operations,Female,0,52353,5,99.77,Yes
10236,Employee_236,44,Finance,Female,1,88644,3,92.21,No
10237,Employee_237,53,HR,Male,7,63302,4,93.29,Yes
10238,Employee_238,44,Marketing,Female,21,91979,5,70.77,No
10239,Employee_239,31,IT,Female,24,37435,2,84.92,Yes
10240,Employee_240,28,Marketing,Female,1,72728,3,85.85,No
10241,Employee_241,56,IT,Female,8,113598,1,71.22,Yes
10242,Employee_242,58,Sales,Male,8,16238,1,79.36,No
10243,Employee_243,40,Finance,Female,12,95857,5,98.67,No
10244,Employee_244,55,Sales,Female,5,96610,4,82.78,No
10245,Employee_245,45,IT,Female,29,28049,2,75.6,No
10246,Employee_246,55,IT,Female,14,72193,5,85.4,No
10247,Employee_247,45,IT,Female,14,50584,2,71.01,No
10248,Employee_248,49,Operations,Female,6,81634,2,85.48,No
10249,Employee_249,38,HR,Male,10,29679,2,87.83,No
10250,Employee_250,38,Finance,Female,1,49505,3,80.73,No
10251,Employee_251,22,Sales,Male,9,66341,5,92.88,No
10252,Employee_252,55,Sales,Male,16,116069,3,74.07,No
10253,Employee_253,36,Marketing,Female,6,65374,4,96.35,No
10254,Employee_254,56,IT,Male,3,61998,4,98.66,Yes
10255,Employee_255,53,IT,Female,34,91970,1,70.04,No
10256,Employee_256,24,IT,Male,30,70701,1,95.28,No
10257,Employee_257,53,Sales,Female,24,59859,1,85.18,No
10258,Employee_258,34,Marketing,Male,12,48178,4,83.84,No
10259,Employee_259,41,HR,Male,17,42575,2,77.16,No
10260,Employee_260,40,Operations,Female,20,34329,2,83.42,Yes
10261,Employee_261,28,Finance,Male,0,72254,5,98.51,No
10262,Employee_262,27,HR,Male,7,118090,4,76.32,No
10263,Employee_263,23,Sales,Male,20,99029,1,75.37,No
10264,Employee_264,37,Operations,Male,20,102366,4,77.26,No
10265,Employee_265,53,Operations,Male,26,119139,2,86.56,Yes
10266,Employee_266,32,Operations,Female,18,115290,2,97.91,Yes
10267,Employee_267,42,IT,Male,22,88662,3,87.22,No
10268,Employee_268,42,Finance,Male,34,55068,3,77.3,No
10269,Employee_269,50,Sales,Female,4,73951,5,83.21,No
10270,Employee_270,58,Sales,Female,7,102629,4,81.71,No
10271,Employee_271,58,Operations,Female,10,50171,3,71.4,No
10272,Employee_272,28,Sales,Male,15,23262,3,85.32,No
10273,Employee_273,47,Finance,Male,23,58270,4,73.78,No
10274,Employee_274,47,Finance,Male,20,35785,2,95.27,No
10275,Employee_275,54,Marketing,Male,22,54469,5,86.47,No
10276,Employee_276,41,Marketing,Female,7,83831,5,95.34,No
10277,Employee_277,50,HR,Female,6,96223,5,98.68,Yes
10278,Employee_278,53,Finance,Male,1,60643,3,98.3,No
10279,Employee_279,48,Finance,Male,29,82657,2,73.01,No
10280,Employee_280,53,Finance,Male,12,18582,5,98.34,No
10281,Employee_281,25,Marketing,Male,22,45280,4,93.87,Yes
10282,Employee_282,39,Operations,Female,28,57589,5,93.33,Yes
10283,Employee_283,24,Operations,Female,19,119004,1,72.7,No
10284,Employee_284,55,Sales,Male,32,55000,2,75.39,No
10285,Employee_285,37,Operations,Female,28,117592,1,99.25,No
10286,Employee_286,48,IT,Male,14,112208,2,76.4,No
10287,Employee_287,50,Marketing,Male,22,16085,4,75.07,No
10288,Employee_288,49,Finance,Female,2,96427,3,80.87,No
10289,Employee_289,26,Operations,Male,28,30600,3,97.4,No
10290,Employee_290,55,Marketing,Female,7,112994,2,84.29,No
10291,Employee_291,57,Operations,Male,21,74801,5,97.62,No
10292,Employee_292,44,HR,Female,28,76739,1,80.03,Yes
10293,Employee_293,49,Finance,Male,1,89181,4,76.8,No
10294,Employee_294,51,HR,Female,0,56596,5,84.86,No
10295,Employee_295,55,Finance,Male,19,85410,3,88.46,Yes
10296,Employee_296,53,Marketing,Male,20,94303,5,81.74,No
10297,Employee_297,41,Sales,Female,7,67188,1,80.38,No
10298,Employee_298,52,Operations,Male,26,41825,3,76.54,No
10299,Employee_299,43,Operations,Female,34,25913,2,78.25,No
10300,Employee_300,53,IT,Female,5,96751,4,90.19,Yes
10301,Employee_301,23,HR,Male,18,99269,4,81.1,No
10302,Employee_302,38,Operations,Male,17,29332,3,72.39,No
10303,Employee_303,45,Marketing,Male,0,69895,2,74.14,No
10304,Employee_304,51,Sales,Male,24,19432,1,81.17,No
10305,Employee_305,23,Marketing,Female,26,103095,4,97.74,Yes
10306,Employee_306,44,HR,Male,6,41570,3,81.37,No
10307,Employee_307,52,IT,Male,28,21103,4,71.82,No
10308,Employee_308,42,Operations,Male,30,30900,2,82.54,No
10309,Employee_309,43,Marketing,Female,18,73415,1,90.06,No
10310,Employee_310,22,Finance,Male,5,82567,2,87.81,No
10311,Employee_311,47,Sales,Female,24,77713,5,78.36,No
10312,Employee_312,22,Marketing,Male,30,98169,2,90.64,No
10313,Employee_313,46,Sales,Female,8,73639,2,88.92,No
10314,Employee_314,37,Operations,Male,19,103728,4,75.17,Yes
10315,Employee_315,53,Finance,Male,9,100476,2,74.86,Yes
10316,Employee_316,29,IT,Female,26,23988,3,86.42,No
10317,Employee_317,59,IT,Male,12,118603,4,89.78,Yes
10318,Employee_318,49,Finance,Male,1,93488,4,98.86,No
10319,Employee_319,46,Sales,Male,20,107905,5,82.66,No
10320,Employee_320,55,Operations,Female,32,116398,3,92.95,No
10321,Employee_321,45,Marketing,Male,23,17977,2,73.5,Yes
10322,Employee_322,44,Finance,Female,33,119029,5,96.69,No
10323,Employee_323,33,HR,Female,8,69641,3,88.99,No
10324,Employee_324,27,Sales,Female,1,16268,5,88.87,No
10325,Employee_325,56,IT,Male,29,69431,1,74.27,No
10326,Employee_326,40,Finance,Female,21,31756,2,71.19,No
10327,Employee_327,21,IT,Female,10,35764,5,91.04,No
10328,Employee_328,28,Sales,Male,16,74912,1,73.51,Yes
10329,Employee_329,36,IT,Female,12,55385,2,73.81,No
10330,Employee_330,34,Finance,Female,6,30032,5,75.63,No
10331,Employee_331,32,Sales,Male,15,110014,5,72.93,No
10332,Employee_332,43,HR,Male,32,60702,5,88.76,No
10333,Employee_333,35,Finance,Female,0,26885,5,82.66,Yes
10334,Employee_334,48,Marketing,Male,10,24796,4,77.98,No
10335,Employee_335,54,Operations,Male,5,119583,5,83.22,No
10336,Employee_336,22,Finance,Male,19,47863,4,95.32,No
10337,Employee_337,52,Sales,Female,34,96014,4,97.81,No
10338,Employee_338,43,Operations,Female,25,47117,1,84.62,No
10339,Employee_339,42,Finance,Male,11,35753,2,87,No
10340,Employee_340,45,HR,Female,29,35325,4,77.72,No
10341,Employee_341,42,HR,Male,27,22021,3,85.41,No
10342,Employee_342,42,Marketing,Male,26,95721,4,92.44,No
10343,Employee_343,26,IT,Male,18,68096,3,84.76,No
10344,Employee_344,35,Operations,Male,4,86404,1,79.06,No
10345,Employee_345,57,Sales,Male,4,28071,3,87.46,Yes
10346,Employee_346,53,Sales,Female,26,79649,1,98.4,Yes
10347,Employee_347,28,IT,Female,27,23041,1,96.64,No
10348,Employee_348,25,HR,Female,25,97051,1,93.08,No
10349,Employee_349,59,HR,Female,26,55058,3,78.29,No
10350,Employee_350,24,Finance,Male,20,63263,3,77.25,Yes
10351,Employee_351,26,Marketing,Male,0,106502,1,95.16,No
10352,Employee_352,52,Operations,Female,27,119820,1,75.44,No
10353,Employee_353,50,Marketing,Female,14,59470,2,88.17,No
10354,Employee_354,55,Marketing,Male,16,102826,1,83.17,No
10355,Employee_355,36,Finance,Male,25,111238,5,84.04,No
10356,Employee_356,33,Marketing,Male,19,43223,2,83.64,No
10357,Employee_357,50,IT,Female,24,48575,2,97,No
10358,Employee_358,39,Finance,Male,12,60799,2,72.61,No
10359,Employee_359,37,IT,Male,32,36661,5,93.49,No
10360,Employee_360,39,Finance,Female,24,96975,2,95.05,No
10361,Employee_361,48,Marketing,Female,7,51432,2,98.29,No
10362,Employee_362,46,IT,Female,4,114047,3,83.58,No
10363,Employee_363,57,IT,Male,5,46147,3,85,Yes
10364,Employee_364,46,IT,Male,22,44114,1,98.84,No
10365,Employee_365,43,Finance,Female,29,21030,1,83.75,Yes
10366,Employee_366,29,Sales,Male,13,105051,4,85.11,No
10367,Employee_367,32,Marketing,Male,22,62429,5,79.97,Yes
10368,Employee_368,21,IT,Male,10,62743,3,70.95,No
10369,Employee_369,21,Operations,Female,30,110869,1,82.99,No
10370,Employee_370,54,Sales,Female,5,80615,5,89.65,No
10371,Employee_371,52,Operations,Male,10,62577,2,90.7,No
10372,Employee_372,45,Marketing,Male,12,109584,5,70.2,No
10373,Employee_373,21,Marketing,Male,11,17966,3,94.03,No
10374,Employee_374,36,IT,Male,1,18728,4,84.77,No
10375,Employee_375,59,IT,Female,34,52304,3,85.62,No
10376,Employee_376,25,Finance,Female,16,64277,1,98.85,No
10377,Employee_377,42,Sales,Male,27,119117,1,78.53,No
10378,Employee_378,49,Sales,Male,27,105330,5,92.85,No
10379,Employee_379,23,IT,Female,21,15947,3,87.24,No
10380,Employee_380,32,Marketing,Male,6,93101,1,91.02,No
10381,Employee_381,46,IT,Female,14,96380,2,82.53,No
10382,Employee_382,36,Marketing,Male,31,81130,2,78.38,No
10383,Employee_383,57,Marketing,Female,10,36414,4,86.38,No
10384,Employee_384,42,IT,Male,23,111226,5,81.25,No
10385,Employee_385,49,HR,Male,2,97060,1,76.69,No
10386,Employee_386,34,Sales,Female,29,108005,4,95.18,No
10387,Employee_387,48,Operations,Female,5,34439,2,84.27,Yes
10388,Employee_388,25,Marketing,Male,1,106742,4,95.42,Yes
10389,Employee_389,50,Marketing,Male,13,73220,4,84.22,No
10390,Employee_390,25,HR,Female,17,61785,1,86.7,Yes
10391,Employee_391,32,Operations,Female,30,51973,1,99.86,No
10392,Employee_392,36,Finance,Male,12,102091,1,98.55,Yes
10393,Employee_393,46,HR,Male,25,88318,5,78.15,No
10394,Employee_394,46,Operations,Female,11,83196,4,96.06,Yes
10395,Employee_395,41,HR,Female,17,21089,4,81.71,Yes
10396,Employee_396,59,Marketing,Female,8,85854,5,72.14,Yes
10397,Employee_397,56,Sales,Female,20,77235,2,87.27,No
10398,Employee_398,53,HR,Female,23,107141,3,99.31,No
10399,Employee_399,50,Finance,Male,33,44400,2,99.23,No
10400,Employee_400,57,IT,Male,7,30405,5,73.79,No
10401,Employee_401,43,Operations,Female,32,67763,4,93.14,No
10402,Employee_402,30,HR,Male,22,45209,4,94.08,No
10403,Employee_403,25,HR,Male,12,88598,1,81.06,No
10404,Employee_404,56,Finance,Female,13,32424,1,89.76,No
10405,Employee_405,54,Sales,Male,13,104523,4,84.64,Yes
10406,Employee_406,51,HR,Male,15,35556,4,76.84,No
10407,Employee_407,30,HR,Male,25,108137,1,92.84,No
10408,Employee_408,39,Sales,Female,25,34330,1,77.88,Yes
10409,Employee_409,52,Finance,Female,0,96266,2,80.21,No
10410,Employee_410,21,Operations,Male,31,18236,4,75.7,No
10411,Employee_411,25,Operations,Male,14,84216,4,91.58,No
10412,Employee_412,24,HR,Male,20,45312,5,83.76,No
10413,Employee_413,36,Sales,Male,17,36191,2,83.3,No
10414,Employee_414,44,HR,Male,29,98457,3,88.14,No
10415,Employee_415,36,IT,Male,12,51640,3,74.72,No
10416,Employee_416,22,Operations,Female,23,115171,3,96.94,No
10417,Employee_417,48,Marketing,Male,29,77293,1,83.95,Yes
10418,Employee_418,52,IT,Male,1,51688,3,81,No
10419,Employee_419,47,HR,Female,18,86229,5,73.8,No
10420,Employee_420,40,Finance,Male,24,100802,1,75.04,Yes
10421,Employee_421,44,Operations,Male,13,107024,1,97.61,No
10422,Employee_422,32,Marketing,Male,5,39122,3,83.7,No
10423,Employee_423,55,IT,Male,11,56224,1,91.67,No
10424,Employee_424,53,Operations,Female,19,109540,2,72.42,No
10425,Employee_425,53,Sales,Male,22,21331,2,89.3,No
10426,Employee_426,57,Finance,Female,29,102102,3,97.65,No
10427,Employee_427,32,IT,Male,29,57262,5,79,Yes
10428,Employee_428,23,Sales,Male,29,101314,1,87.37,No
10429,Employee_429,21,HR,Female,29,74592,4,98.21,No
10430,Employee_430,53,Sales,Male,33,48926,3,91.58,No
10431,Employee_431,30,IT,Female,15,101287,1,71.87,No
10432,Employee_432,49,IT,Female,23,32528,3,81.36,No
10433,Employee_433,33,HR,Female,13,15068,3,72.57,Yes
10434,Employee_434,32,Sales,Male,25,84253,5,95.84,No
10435,Employee_435,51,Sales,Male,7,95754,4,88.65,Yes
10436,Employee_436,22,HR,Male,13,58968,1,98.69,No
10437,Employee_437,55,Sales,Male,30,105938,3,70.59,Yes
10438,Employee_438,43,Operations,Female,1,63623,3,82.69,No
10439,Employee_439,37,HR,Male,3,112179,1,73.13,Yes
10440,Employee_440,46,Finance,Male,0,57129,3,80.51,No
10441,Employee_441,28,IT,Female,19,109688,3,74.86,No
10442,Employee_442,49,Finance,Female,13,76321,3,79.86,No
10443,Employee_443,46,Operations,Male,24,26526,2,94.58,Yes
10444,Employee_444,30,Operations,Female,24,107452,2,74.82,No
